period,address,_LATITUDE_,_LONGITUDE_,resolvedAddress,mint,maxt,temp,precip,precipcover,snowdepth,wspd,wgust,wdir,visibility,sealevelpressure,weathertype,mint_max,mint_min,mint_mean,mint_p10,mint_p25,mint_p50,mint_p75,mint_p90,maxt_max,maxt_min,maxt_mean,maxt_p10,maxt_p25,maxt_p50,maxt_p75,maxt_p90,temp_max,temp_min,temp_mean,temp_p10,temp_p25,temp_p50,temp_p75,temp_p90,precip_max,precip_min,precip_mean,precip_p10,precip_p25,precip_p50,precip_p75,precip_p90,precipcover_max,precipcover_min,precipcover_mean,precipcover_p10,precipcover_p25,precipcover_p50,precipcover_p75,precipcover_p90
"Week 43 (Oct)","Herndon,VA",38.96972,-77.38519,"",26.3,80.3,50.3,24.8,0.9,0,34.4,,218.11,10.6,1016.5,"Light Drizzle, Thunderstorm, Fog, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",57.1,27.5,39,33.3,34.5,38.5,41.8,45.2,75.4,44.3,61.4,52.4,59.7,61.1,65.6,68.3,61.6,37.2,49.5,43,46.6,49,52.7,55.7,,,,,,,,,,,,,,,,
"Week 44 (Oct)","Herndon,VA",38.96972,-77.38519,"",21.2,80.3,48.1,34.7,1.35,0,34.4,,227.89,12.7,1014.8,"Drizzle, Light Snow, Light Drizzle, Thunderstorm, Thunderstorm Without Precipitation, Fog, Ice, Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",56.1,21.2,37.3,29.9,31.8,36.8,41.5,45.2,73.4,41.1,57.3,45.5,52,56.3,63.9,68.3,63.5,33.3,47.3,38.7,41.7,48.1,50.8,55.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
"Week 45 (Nov)","Herndon,VA",38.96972,-77.38519,"",21.2,80.3,44.9,27.5,1.3,0,27.5,,223.78,12.5,1019.4,"Snow Showers, Drizzle, Light Snow, Heavy Drizzle, Light Drizzle, Thunderstorm, Thunderstorm Without Precipitation, Fog, Ice, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",54.5,21.2,35.2,25.5,29.6,36.3,39.9,43.8,71.9,43.2,54.9,45.6,50.9,54.5,58.6,64.2,62.9,34.6,44.4,37,39,44.1,48.1,52.8,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
"Week 46 (Nov)","Herndon,VA",38.96972,-77.38519,"",19.5,69.5,45.6,3.2,0.43,0,40.3,,233.28,12,1017.3,"Snow Showers, Drizzle, Heavy Drizzle, Light Snow, Light Drizzle, Thunderstorm, Fog, Ice, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",48.7,23.8,36.6,30.8,34.3,36.3,40.2,43.4,67.6,42.3,54.6,44.4,50.5,55.5,58.1,62.3,55,35.1,45.3,38.8,41.1,46,48.4,51.3,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
"Week 47 (Nov)","Herndon,VA",38.96972,-77.38519,"",19.5,63,43.3,1.8,0.42,0,40.3,,236.07,11,1019.8,"Light Snow, Light Drizzle, Thunderstorm, Fog, Ice, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze",45.4,24.3,35.1,27.4,31.9,35.4,37.8,42.2,61.3,35.3,50.8,44.1,47.1,51.3,53.9,57.1,52.1,30.6,43,37.9,40.6,42.6,46.6,47.8,,,,,,,,,,,,,,,,
"Week 48 (Nov)","Herndon,VA",38.96972,-77.38519,"",16.4,61.3,41.3,10.4,0.73,0,24.2,,256.58,11.3,1022.9,"Light Snow, Light Drizzle, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Drizzle/Freezing Rain, Light Freezing Rain, Hail Showers, Ice, Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",43.2,23.2,32.1,26.4,28,31.3,36.3,40,61.3,39.5,52.8,42.8,48.7,53.7,57.8,59.8,50.7,32.7,41.1,37.1,37.8,40.9,42.6,46.3,,,,,,,,,,,,,,,,
"Week 49 (Dec)","Herndon,VA",38.96972,-77.38519,"",10.6,61.3,37.5,58.7,1.57,0,27.5,,236.68,11,1012.7,"Snow Showers, Heavy Snow, Light Snow, Light Drizzle, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Drizzle/Freezing Rain, Light Freezing Rain, Hail Showers, Ice, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",43.3,10.6,29.1,18.8,25.5,29.2,32.2,38.6,61.1,21,44.9,32.2,38.4,43.7,50.3,57.8,50.7,14.3,36.6,24.2,33.8,37.1,40.7,43.9,,,,,,,,,,,,,,,,
"Week 50 (Dec)","Herndon,VA",38.96972,-77.38519,"",9.4,54.9,28.5,47.9,1.57,9.8,25.3,,251.54,10.9,1017.8,"Snow Showers, Blowing Or Drifting Snow, Heavy Snow, Light Snow, Light Drizzle, Duststorm, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Drizzle/Freezing Rain, Light Freezing Rain, Ice, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",40.1,9.4,21.1,14.5,16.6,21.3,24.5,27.6,54.9,21.5,34.9,28.1,31.1,34.7,38.2,42.1,44.1,15,27.9,20.7,25.1,28.7,30.6,33.5,,,,,,,,,,,,,,,,
"Week 51 (Dec)","Herndon,VA",38.96972,-77.38519,"",9.4,63.2,29.8,119.9,2.06,9.8,27.5,,228.37,8.6,1021.6,"Snow Showers, Blowing Or Drifting Snow, Heavy Snow, Drizzle, Light Snow, Light Drizzle, Duststorm, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Rain, Ice, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",36,9.4,23,18.7,19.9,22.9,25.8,28.5,56.4,25.4,37,30,32.2,36.8,41,44,40,21.4,29.3,24.4,27.1,28.9,31.3,34.9,,,,,,,,,,,,,,,,
"Week 52 (Dec)","Herndon,VA",38.96972,-77.38519,"",10.2,64.5,33.1,50.7,2.23,2,27.5,,231.6,10.4,1021.7,"Snow Showers, Drizzle, Heavy Snow, Light Snow, Light Drizzle, Thunderstorm, Duststorm, Fog, Freezing Drizzle/Freezing Rain, Heavy Freezing Rain, Light Freezing Rain, Ice, Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",61.2,10.2,25.5,16,18.8,25.2,29.1,35,62.9,19.2,41.1,30,35.3,40.6,43.8,50.3,62.3,12.6,33.1,25,28.1,32.8,37.1,39.8,,,,,,,,,,,,,,,,
"Week 1 (Dec)","Herndon,VA",38.96972,-77.38519,"",10.2,64.5,35.1,48,3.8,1.2,26.3,,237.81,12.1,1018.8,"Snow Showers, Drizzle, Light Snow, Light Drizzle, Duststorm, Fog, Heavy Freezing Rain, Light Freezing Rain, Ice, Mist, Rain, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",61.2,10.2,29,18.8,22.3,26,33.3,42.3,62.9,19.4,42.4,32.1,35.9,38.9,45.9,59.6,62.3,15.2,35.5,26.4,30.1,34.1,38.3,51.5,1.9,1.4,1.6,1.4,1.4,1.6,1.9,1.9,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
